	userid	otheruserid	dt	liked
452	629421	633624	2017-08-15T21:39:35.0000000	True
453	640845	600512	2017-08-15T21:39:35.0000000	True
454	640894	573403	2017-08-15T21:39:35.0000000	False
455	640894	561347	2017-08-15T21:39:35.0000000	False
456	640894	600265	2017-08-15T21:39:35.0000000	True
457	629421	639170	2017-08-15T21:39:33.0000000	False
458	629421	638574	2017-08-15T21:39:33.0000000	True
459	640865	414570	2017-08-15T21:39:33.0000000	False
460	640865	450138	2017-08-15T21:39:33.0000000	False
461	640865	465751	2017-08-15T21:39:33.0000000	False
462	640865	633883	2017-08-15T21:39:33.0000000	False
463	640865	608118	2017-08-15T21:39:33.0000000	False
464	640865	427307	2017-08-15T21:39:33.0000000	False
465	640865	421021	2017-08-15T21:39:33.0000000	False
466	640865	470787	2017-08-15T21:39:33.0000000	False
467	640865	613556	2017-08-15T21:39:33.0000000	False
468	640865	423956	2017-08-15T21:39:33.0000000	False
469	640865	619205	2017-08-15T21:39:33.0000000	False
470	640865	492681	2017-08-15T21:39:33.0000000	False
471	629421	636715	2017-08-15T21:39:33.0000000	False
472	629421	21583	2017-08-15T21:39:33.0000000	False
473	640896	451301	2017-08-15T21:39:33.0000000	True
474	640896	582497	2017-08-15T21:39:33.0000000	False
475	640896	459175	2017-08-15T21:39:33.0000000	False
476	640896	118134	2017-08-15T21:39:33.0000000	False
477	640896	52078	2017-08-15T21:39:33.0000000	True
478	640713	631456	2017-08-15T21:39:32.0000000	True
479	591689	531376	2017-08-15T21:39:31.0000000	False
480	591689	447062	2017-08-15T21:39:31.0000000	False
481	591689	414524	2017-08-15T21:39:31.0000000	False
482	591689	575855	2017-08-15T21:39:31.0000000	False
483	591689	488462	2017-08-15T21:39:31.0000000	False
484	591689	617293	2017-08-15T21:39:31.0000000	False
485	591689	502042	2017-08-15T21:39:31.0000000	False
486	591689	624454	2017-08-15T21:39:31.0000000	False
487	591689	486898	2017-08-15T21:39:31.0000000	False
488	591689	632554	2017-08-15T21:39:31.0000000	False
489	591689	537469	2017-08-15T21:39:31.0000000	False
490	591689	190769	2017-08-15T21:39:31.0000000	False
491	591689	495113	2017-08-15T21:39:31.0000000	False
492	591689	580369	2017-08-15T21:39:31.0000000	False
493	591689	486002	2017-08-15T21:39:31.0000000	False
494	591689	640473	2017-08-15T21:39:31.0000000	False
495	591689	481648	2017-08-15T21:39:31.0000000	False
496	640845	584779	2017-08-15T21:39:31.0000000	True
497	591689	635736	2017-08-15T21:39:31.0000000	False
498	591689	527991	2017-08-15T21:39:31.0000000	False
499	591689	498022	2017-08-15T21:39:31.0000000	False
